1,2,3,4,5,6,Match,rScore,bScore,iElo1,iElo2,iElo3,iElo4,iElo5,iElo6,rElo,bElo,rOdds,bOdds,fElo1,fElo2,fElo3,fElo4,fElo5,fElo6,status1,status2,status3,status4,status5,status6
JMaster | 346,jbobeli,gerog,TayLew9,Jack155,Dak346,3716,148,212,1256.8043963054724,786.4686265934849,1480.511442529271,1539.6694154356535,1055.247944380802,1229.9666613090085,1174.5948218094095,1274.9613403751546,0.2884869427410808,0.7115130572589192,1203.5364917356694,768.3815611779117,1474.7374017672053,1545.4434561718067,1068.5278038845065,1235.740702045161,JMaster | 346_L,jbobeli_L,gerog_L,TayLew9_W,Jack155_W,Dak346_W
JMaster | 346,jbobeli,gerog,TayLew9,Jack155,Dak346,3715,186,234,1328.621493719609,810.6267424681774,1487.9892793440013,1532.191578656027,1037.6020818610016,1222.4888245293832,1209.079171843929,1264.0941616821374,0.3787562069147436,0.6212437930852563,1256.8043963054724,786.4686265934849,1480.511442529271,1539.6694154356535,1055.247944380802,1229.9666613090085,JMaster | 346_L,jbobeli_L,gerog_L,TayLew9_W,Jack155_W,Dak346_W
JMaster | 346,jbobeli,gerog,TayLew9,Jack155,Dak346,3714,209,208,1200.0,767.7533969379405,1475.1271299088796,1545.0537280279898,1068.7585663152238,1235.350973901344,1147.6268422822734,1283.054422748186,0.2282710376823467,0.7717289623176532,1328.621493719609,810.6267424681774,1487.9892793440013,1532.191578656027,1037.6020818610016,1222.4888245293832,JMaster | 346_W,jbobeli_W,gerog_W,TayLew9_L,Jack155_L,Dak346_L
Rob533,Dak346,Puzzle,Darre2655,Aaron2689,Ricardo5193,3713,183,177,1611.875119194909,1232.2728484998229,946.2336514219206,1457.232083495731,846.6806692612008,962.8595229199346,1263.460539705551,1088.9240918922887,0.8277641298178852,0.1722358701821148,1614.95324459643,1235.350973901344,949.3117776162215,1454.15395809421,843.6025434180066,959.781391776992,Rob533_W,Dak346_W,Puzzle_W,Darre2655_L,Aaron2689_L,Ricardo5193_L
Rob533,Dak346,Puzzle,Darre2655,Aaron2689,Ricardo5193,3712,196,165,1608.3677010121417,1228.7654303170557,942.7262322942304,1460.7395016784983,850.1880879704033,966.3669479459628,1259.953121207809,1092.4315125316216,0.8185818181327249,0.1814181818672751,1611.875119194909,1232.2728484998229,946.2336514219206,1457.232083495731,846.6806692612008,962.8595229199346,Rob533_W,Dak346_W,Puzzle_W,Darre2655_L,Aaron2689_L,Ricardo5193_L
Darre2655,jbobeli,Aaron2689,Rob533,Dak346,Ricardo5193,3711,155,196,1462.8394870903262,774.9787905511203,852.2880737119287,1606.267715600314,1226.6654449052278,964.266958248312,1030.0354504511251,1265.733372917951,0.1071701177022643,0.8928298822977356,1460.7395016784983,767.7533969379405,850.1880879704033,1608.3677010121417,1228.7654303170557,966.3669479459628,Darre2655_L,jbobeli_L,Aaron2689_L,Rob533_W,Dak346_W,Ricardo5193_W
Darre2655,jbobeli,Aaron2689,Rob533,Dak346,Ricardo5193,3710,166,202,1465.033582502031,782.7744604581944,854.4821694839613,1604.073620188609,1224.471349493523,962.0728581526176,1034.0967374813956,1263.5392759449169,0.1126739030806407,0.8873260969193593,1462.8394870903262,774.9787905511203,852.2880737119287,1606.267715600314,1226.6654449052278,964.266958248312,Darre2655_L,jbobeli_L,Aaron2689_L,Rob533_W,Dak346_W,Ricardo5193_W
Darre2655,Aaron2689,Ricardo5193,Dak346,jbobeli,gerog,3709,189,200,1472.3631941571632,861.8117823982091,969.4024861753044,1217.1417378383906,755.8709203334087,1467.797518216098,1101.192487576892,1146.9367254626325,0.3985656127830841,0.6014343872169159,1465.033582502031,854.4821694839613,962.0728581526176,1224.471349493523,782.7744604581944,1475.1271299088796,Darre2655_L,Aaron2689_L,Ricardo5193_L,Dak346_W,jbobeli_W,gerog_W
Darre2655,Aaron2689,Ricardo5193,Dak346,jbobeli,gerog,3708,160,188,1481.1158200717375,870.5644098855541,978.1551325347142,1208.389111923816,722.6683529276281,1459.0448922544956,1109.9451208306689,1130.034119035313,0.4549500144891763,0.5450499855108237,1472.3631941571632,861.8117823982091,969.4024861753044,1217.1417378383906,755.8709203334087,1467.797518216098,Darre2655_L,Aaron2689_L,Ricardo5193_L,Dak346_W,jbobeli_W,gerog_W
gerog,Aaron2689,CrazyMetic,Darre2655,Dak346,Ricardo5193,3707,198,208,1464.0572718823312,875.5767904273541,987.6573542451056,1476.103440472073,1203.3767323241516,973.142740687996,1109.097138851597,1217.5409711614068,0.2738064466852816,0.7261935533147184,1459.0448922544956,870.5644098855541,982.6449734655948,1481.1158200717375,1208.389111923816,978.1551325347142,gerog_L,Aaron2689_L,CrazyMetic_L,Darre2655_W,Dak346_W,Ricardo5193_W
gerog,Aaron2689,CrazyMetic,Darre2655,Dak346,Ricardo5193,3706,197,225,1469.7237195408018,881.2432391666081,993.3238032654582,1470.4369928469157,1197.710284698994,967.4762785804236,1114.7635873242891,1211.8745187087775,0.2945345150504985,0.7054654849495015,1464.0572718823312,875.5767904273541,987.6573542451056,1476.103440472073,1203.3767323241516,973.142740687996,gerog_L,Aaron2689_L,CrazyMetic_L,Darre2655_W,Dak346_W,Ricardo5193_W
jbobeli,gerog,CrazyMetic,Darre2655,Dak346,Aaron2689,3705,169,243,744.8895049711693,1475.389473875635,998.9895590246808,1464.7712385469245,1192.0445303990027,875.5774837013859,1073.0895126238283,1177.4644175491044,0.2811433532021831,0.7188566467978169,722.6683529276281,1469.7237195408018,993.3238032654582,1470.4369928469157,1197.710284698994,881.2432391666081,jbobeli_L,gerog_L,CrazyMetic_L,Darre2655_W,Dak346_W,Aaron2689_W
jbobeli,gerog,CrazyMetic,Darre2655,Dak346,Aaron2689,3704,203,224,769.1392086310319,1481.367461728844,1004.9675484499472,1458.7932507321698,1186.0665425842478,869.5994946005992,1085.1580729366076,1171.4864293056723,0.3150794380679028,0.6849205619320973,744.8895049711693,1475.389473875635,998.9895590246808,1464.7712385469245,1192.0445303990027,875.5774837013859,jbobeli_L,gerog_L,CrazyMetic_L,Darre2655_W,Dak346_W,Aaron2689_W
jbobeli,gerog,CrazyMetic,Darre2655,Dak346,Aaron2689,3703,201,198,714.0374403818344,1468.2391701237275,991.8392532335268,1471.92154224895,1199.1948341010282,882.7277890716302,1058.038621246363,1184.6147218072028,0.2425985663395999,0.7574014336604001,769.1392086310319,1481.367461728844,1004.9675484499472,1458.7932507321698,1186.0665425842478,869.5994946005992,jbobeli_W,gerog_W,CrazyMetic_W,Darre2655_L,Dak346_L,Aaron2689_L
Darre2655,Dak346,gerog,jbobeli,Aaron2689,Josh3128,3702,201,129,1471.38015125578,1198.653443107858,1467.6977791267468,716.3894216515296,883.2691801922365,1341.209230708501,1379.2437911634618,980.2892775174224,0.9731006555479874,0.0268993444520125,1471.92154224895,1199.1948341010282,1468.2391701237275,714.0374403818344,882.7277890716302,1340.667839715331,Darre2655_W,Dak346_W,gerog_W,jbobeli_L,Aaron2689_L,Josh3128_L
Darre2655,Dak346,gerog,jbobeli,Aaron2689,Josh3128,3701,245,159,1470.8257712854963,1198.0990631375744,1467.1433991523816,718.8831646558098,883.8235602990197,1341.7636106787847,1378.6894111918175,981.4901118778712,0.9726843117013696,0.0273156882986304,1471.38015125578,1198.653443107858,1467.6977791267468,716.3894216515296,883.2691801922365,1341.209230708501,Darre2655_W,Dak346_W,gerog_W,jbobeli_L,Aaron2689_L,Josh3128_L
Dak346,gerog,Josh3128,Darre2655,TayLew9,Aaron2689,3700,114,244,1211.2591647001625,1480.3035008163176,1354.9237122413726,1457.665669722909,1531.8936264654003,870.6634553470097,1348.8287925859506,1286.7409171784395,0.6360932966661045,0.3639067033338955,1198.0990631375744,1467.1433991523816,1341.7636106787847,1470.8257712854963,1545.0537280279898,883.8235602990197,Dak346_L,gerog_L,Josh3128_L,Darre2655_W,TayLew9_W,Aaron2689_W
